A,B,C,D
1,33,58.1,705.26
2,29,68.3,625.09
3,32,78.21,685.23
4,25,87.99,545.22
5,34,98.05,724.99
6,17,108.22,385.09
7,34,118.07,725.31
8,22,128.21,485.07
9,29,137.98,625.15
10,8,148.08,205.26
11,16,158.01,364.98
12,4,168.3,125.3
13,7,178.15,185.05
14,32,188.32,684.98
15,8,198.18,204.98
16,10,208.35,245.22
17,21,218.3,465.23
18,6,228.12,164.99
19,16,238.33,365.31
20,25,248.01,545.02
21,13,258.17,305.05
22,13,268.13,305.3
23,37,278.21,784.99
24,37,288.05,785.25
25,37,298.14,785.06
26,37,308.16,785.03
27,13,318.29,305.35
28,31,328.35,665.01
29,32,338.03,685.36
30,25,348.2,545.32
31,29,358.25,625.03
32,29,368.3,625.19
33,13,378.28,305.34
34,6,388.17,165.33
35,33,398.06,705.01
36,1,408.36,65.19
37,7,418.09,185.02
38,36,428.32,765.32
39,32,438.24,685.29
40,22,448.02,485.12
41,16,458.31,364.99
42,14,468.12,325.32
43,27,478.17,585.14
44,15,488.23,345.25
45,10,498.17,245.33
46,14,508.1,325.31
47,27,518.17,585.35
48,32,528.06,685.29
49,18,537.98,405.16
50,9,548.2,225.2
51,15,558.29,345.05
52,17,568.03,385.12
53,3,578.22,105.31
54,19,588.37,425.17
55,6,598.07,165.28
56,33,608.21,705
57,27,618.01,585.12
58,24,628.25,525.12
59,15,638.03,345.12
60,25,648.04,545.26
61,39,658.2,825.09
62,39,668.37,825.06
63,13,678.32,305.3
64,6,688.03,165.29
65,17,698.01,384.99
66,39,708.34,825.14
67,2,718.21,85.09
68,8,728.37,205.36
69,22,738.13,485.01
70,28,748.3,605
71,16,758.3,365.22
72,20,768.29,445.21
73,28,778.02,605.07
74,21,788,465.12
75,4,798.1,125.15
76,37,808.09,785.11
77,14,818.11,325.35
78,25,828.11,545.26
79,16,838.33,365.33
80,11,848.21,265.26
81,13,858.3,305.1
82,37,868.1,785.01
83,12,878.3,285.37
84,21,888.03,465.31
85,35,898.08,745.03
86,12,908.05,285.15
87,18,918.11,405.2
88,7,928.29,185.26
89,35,938.05,745.21
90,31,948.16,665.37
91,19,958.22,425.21
92,31,968.19,665.25
93,26,978.24,565.17
94,17,988.05,385.23
95,10,998.33,245.25
96,8,1008.37,205.32
97,17,1018.15,384.98
98,39,1028.22,825.29
99,19,1038.1,425.36
100,3,1048.01,105.06
